"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Dang, V.-N.; Aussenac-Gilles, N.; Megdiche, I.; Ravat, F.","Dang, Vincent Nam (57261887700); Aussenac-Gilles, Nathalie (8969902600); Megdiche, Imen (55364699600); Ravat, Franck (6603741650)","57261887700; 8969902600; 55364699600; 6603741650","Unified access to interdisciplinary open data platforms: Open Science Data Network","2026","Data and Knowledge Engineering","162","","102552","","","0","10.1016/j.datak.2025.102552","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105025195567&doi=10.1016%2Fj.datak.2025.102552&partnerID=40&md5=d30384f5d5a6073fc2e61a93998d568e","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105025195567"
"Zhang, M.; Meng, R.; Wang, T.; Zhou, Y.; Zhao, Y.; Yang, B.; Zhang, L.","Zhang, Mingrui (57215495765); Meng, Ru (59523239500); Wang, Tao (57199031238); Zhou, Yanwei (36619914000); Zhao, Yi (55921634700); Yang, Bo (57109606800); Zhang, Lei (56153232900)","57215495765; 59523239500; 57199031238; 36619914000; 55921634700; 57109606800; 56153232900","BcFCKA:Blockchain-based Fair and continuous key agreement for DIDComm in Self-Sovereign Identity","2026","Computer Standards and Interfaces","96","","104085","","","0","10.1016/j.csi.2025.104085","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020584703&doi=10.1016%2Fj.csi.2025.104085&partnerID=40&md5=da5f32aa3da56b349c3f829cd36194c7","Article","Final","","Scopus","2-s2.0-105020584703"
"Bargayary, B.; Medhi, N.","Bargayary, Birglang (57272069000); Medhi, Nabajyoti (55004694800)","57272069000; 55004694800","Cross-DistBlock: Blockchain-Enabled Multi-stage Flow Verification in Multi-domain Software-Defined Networks","2026","Journal of Network and Systems Management","34","1","8","","","0","10.1007/s10922-025-09985-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105019180052&doi=10.1007%2Fs10922-025-09985-2&partnerID=40&md5=41c5a3b6184b0c98b2321cee8b77bae6","Article","Final","","Scopus","2-s2.0-105019180052"
"Arsalwad, G.P.; Poonam, R.F.; Bhosale, K.S.; Gongane, A.H.; Shalini, E.; Prakash, O.","Arsalwad, Gajanan (58245252900); Poonam, R. Faldu (60411652200); Bhosale, Karuna Suryakant (56642722500); Gongane, Akshay Hemant (60411718600); Shalini, E. (60411833900); Prakash, Om (60255536400)","58245252900; 60411652200; 56642722500; 60411718600; 60411833900; 60255536400","BLOCKCHAIN AND AI IN ART PROVENANCE TRACKING","2026","ShodhKosh: Journal of Visual and Performing Arts","7","1s","","497","507","0","10.29121/shodhkosh.v7.i1s.2026.7119","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105030868059&doi=10.29121%2Fshodhkosh.v7.i1s.2026.7119&partnerID=40&md5=ce617a5efd912f98d3f409bab9701ca7","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105030868059"
"Ding, X.; Ding, H.; Zhou, F.; X.; Wang, Q.; Lang, J.","Ding, Xiaomei (58549817300); Ding, Huaibao (58550100000); Zhou, Fei (57896859300); Wang, Qiongpei (57216792039); Lang, Jiayun (59916515700)","58549817300; 58550100000; 57896859300; 60407860200; 57216792039; 59916515700","Design and verification of a verifiable privacy-preserving cloud-IoT computing platform integrating differential privacy and edge intelligence: based on secret sharing and gradient masking mechanisms","2026","Engineering Research Express","8","3","035235","","","0","10.1088/2631-8695/ae4094","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105030600400&doi=10.1088%2F2631-8695%2Fae4094&partnerID=40&md5=478d448e35535a4df31171de1b49f1d3","Article","Final","","Scopus","2-s2.0-105030600400"
"Yi, J.; Wang, S.; Hu, W.; Huang, Q.","Yi, Jianbo (37006032700); Wang, Shuyi (57440364900); Hu, Weihao (24921323300); Huang, Qi (57203888710)","37006032700; 57440364900; 24921323300; 57203888710","Verification of Grid-Forming Adaptive Inertia-Damping Control Strategy for Novel Energy Storage Integrated with Photovoltaic Systems; 新型储能配合光伏并网的构网自适应惯量阻尼控制策略验证","2026","Diangong Jishu Xuebao/Transactions of China Electrotechnical Society","41","3","","883","897","1","10.19595/j.cnki.1000-6753.tces.250181","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029554426&doi=10.19595%2Fj.cnki.1000-6753.tces.250181&partnerID=40&md5=05bf12f963287f13809376eb895d5681","Article","Final","","Scopus","2-s2.0-105029554426"
"Van Woensel, W.; Seneviratne, O.","Van Woensel, William V. (23052851200); Seneviratne, Oshani (36697042800)","23052851200; 36697042800","Semantic interoperability on blockchain by generating smart contracts based on knowledge graphs","2026","Blockchain: Research and Applications","7","1","100320","","","7","10.1016/j.bcra.2025.100320","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029484950&doi=10.1016%2Fj.bcra.2025.100320&partnerID=40&md5=088455e1de40587288f0908c04cc039c","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105029484950"
"Kanu, V.I.; Ajakwe, S.O.; Lee, J.M.; Kim, D.-S.","Kanu, Victor Ikenna (59554253000); Ajakwe, Simeon Okechukwu (57414321100); Lee, Jae-min (57194451001); Kim, Dong-seong (55586876300)","59554253000; 57414321100; 57194451001; 55586876300","Deterministic protein structure and binding site analysis through blockchain-integrated workflow verification","2026","ICT Express","12","1","","83","91","0","10.1016/j.icte.2025.11.018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105025142039&doi=10.1016%2Fj.icte.2025.11.018&partnerID=40&md5=9fe51c9b8c9e474ab30f9e196910fa7c","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105025142039"
"Hasan, M.N.; Namasudra, S.","Hasan, Md Nurul (59937246500); Namasudra, Suyel (56418611000)","59937246500; 56418611000","BMSES: Blockchain and mobile edge computing-based secure and energy-efficient system for healthcare data management","2026","Journal of Parallel and Distributed Computing","208","","105198","","","0","10.1016/j.jpdc.2025.105198","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024313816&doi=10.1016%2Fj.jpdc.2025.105198&partnerID=40&md5=868ef14d4adde3bccec3bf17b21a9c51","Article","Final","","Scopus","2-s2.0-105024313816"
"Gomes Netto, W.D.B.; Sousa, S.S.; Nakamaru, S.M.B.; Philippsen, H.K.; de Castro Silva, D.; Costa, D.K.D.; de Oliveira, A.C.F.M.; Baraúna, R.A.; Graças, D.A.; Silva, A.; de Oliveira Veras, A.A.","Gomes Netto, Walter De Barros (60197548500); Sousa, Saed Silva (60197835800); Nakamaru, Sofia Mayumi Brandao (60197978200); Philippsen, Hellen Kempfer (58221387500); de Castro Silva, Denis (57212652378); Costa, Deriks Karlay Dias (60197691500); de Oliveira, Ana Carolina Favacho Miranda (59503705200); Baraúna, Rafael Azevedo (54400760000); Graças, Diego Assis Das (55522457400); Silva, Artur Luiz Da Costa (7403221897); de Oliveira Veras, Adonney Allan (59685340400)","60197548500; 60197835800; 60197978200; 58221387500; 57212652378; 60197691500; 59503705200; 54400760000; 55522457400; 7403221897; 59685340400","PanGeneWhale - A dockerized Kotlin-based GUI platform for reproducible and user-friendly pangenomic analysis","2026","Computational Biology and Chemistry","120","","108779","","","0","10.1016/j.compbiolchem.2025.108779","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022099139&doi=10.1016%2Fj.compbiolchem.2025.108779&partnerID=40&md5=fb2a00a1ed8a73810bf81ac9db446dac","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105022099139"
"Zhenxiang, L.; Yuanrong, J.; Nazir Ahmad, M.N.","Zhenxiang, Li (59781644000); Yuanrong, Jin (59900290000); Nazir Ahmad, Mohammad Nazir (55854105900)","59781644000; 59900290000; 55854105900","A Blockchain-Based Privacy-Preserving Scheme for Integrity Verification and Fair Payment in Cloud Data Storage","2026","International Journal of Advanced Computer Science and Applications","17","1","","370","378","0","10.14569/IJACSA.2026.0170135","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105031138124&doi=10.14569%2FIJACSA.2026.0170135&partnerID=40&md5=504ab6b7da98653477407c7a1a954e43","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105031138124"
"Teboulbi, S.; Messaoud, S.; Hajjaji, M.A.; Atri, M.; Mtibaa, A.","Teboulbi, Safa (57299407600); Messaoud, Seifeddine (57214241968); Hajjaji, Mohamed Ali (56022900100); Atri, Mohamed (23017853700); Mtibaa, Abdelatif (55913688000)","57299407600; 57214241968; 56022900100; 23017853700; 55913688000","Lightweight Dual-YOLOv8 Instance-Aware Semantic Segmentation for Real-Time Autonomous Driving on Edge ARM/GPU Platforms","2026","International Journal of Advanced Computer Science and Applications","17","1","","905","914","0","10.14569/IJACSA.2026.0170188","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029716363&doi=10.14569%2FIJACSA.2026.0170188&partnerID=40&md5=8308fcc6819d6df956cff82a0b0d2f0b","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105029716363"
"Zhu, Y.; Li, D.; Liu, J.; Liu, Z.; Xiong, X.","Zhu, Yiwei (57409189300); Li, Dabo (59483635000); Liu, Jianhua (59483776300); Liu, Zilong (56101483300); Xiong, Xingchuang (26538292200)","57409189300; 59483635000; 59483776300; 56101483300; 26538292200","Toward the NQI trusted scientific data space building an information integration and data sharing platform","2026","Measurement: Journal of the International Measurement Confederation","258","","119523","","","0","10.1016/j.measurement.2025.119523","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020660585&doi=10.1016%2Fj.measurement.2025.119523&partnerID=40&md5=1173a622005eb9b6f351cd1f87383350","Article","Final","","Scopus","2-s2.0-105020660585"
"Chang, L.; El-Meligy, M.A.; Alnowibet, K.A.","Chang, Lei (58883074000); El-Meligy, Mohammed A. (57197872728); Alnowibet, Khalid Abdulaziz (14035088600)","58883074000; 57197872728; 14035088600","On the measurement of enhanced energy storage in composite concentric helical pipes with RSA-DNN verification","2026","Measurement: Journal of the International Measurement Confederation","258","","119154","","","0","10.1016/j.measurement.2025.119154","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018115289&doi=10.1016%2Fj.measurement.2025.119154&partnerID=40&md5=c638af2e964d4f4c0a2500fe17521318","Article","Final","","Scopus","2-s2.0-105018115289"
"Shi, J.; Wang, Y.; Ow, T.T.","Shi, Jianzheng (59259920000); Wang, Yue (57971637700); Ow, Terence T. (6507703410)","59259920000; 57971637700; 6507703410","Analysis of Web3 Platform Data Management Efficiency: A Simulation Study","2026","Distributed Ledger Technologies","5","2","17","","","0","10.1145/3756328","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029297723&doi=10.1145%2F3756328&partnerID=40&md5=6d9720193cce92cf2d549e3e720d9dba","Article","Final","","Scopus","2-s2.0-105029297723"
"Huang, R.","Huang, Rong (58017610100)","58017610100","The Theoretical Modeling and Practical Verification of Supply Chain Finance Mode Decision-Making for Textile Industry Internet Platforms Under Digital Empowerment","2026","Proceedings of 2025 2nd International Conference on Digital Economy and Computer Science, DECS 2025","","","","634","640","0","10.1145/3785706.3785805","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105030328775&doi=10.1145%2F3785706.3785805&partnerID=40&md5=e75106160dac8c2a047a6b4bb748c0db","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105030328775"
"Vijaya Vardan Reddy, S.P.; Jaison, B.","Vijaya Vardan Reddy, S. P. (57876387300); Jaison, B. (56884715900)","57876387300; 56884715900","Fair Consensus in Blockchain-Dual Sampling Dilated ConNet: An Optimized Intrusion Detection and Prevention System in IoT","2026","International Journal of Communication Systems","39","1","e70298","","","0","10.1002/dac.70298","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022645182&doi=10.1002%2Fdac.70298&partnerID=40&md5=4fe07687868c8ab742b9a4d73d74fd7b","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-105022645182"
"Selvi, G.C.; Anil, O.R.; Arulkumar, V.; Arif, M.; Nithya, T.M.; Peter, T.J.","Selvi, G. Chemmalar (60346047400); Anil, Ostwal Rohit (60345667400); Arulkumar, V. (57281603800); Arif, Mohammad (57050115600); Nithya, T. M. (59693682100); Peter, T. John (60345350300)","60346047400; 60345667400; 57281603800; 57050115600; 59693682100; 60345350300","Blockchain in education: Transforming the future of document verification management","2026","AIP Conference Proceedings","3345","1","020281","","","0","10.1063/5.0298208","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028296331&doi=10.1063%2F5.0298208&partnerID=40&md5=fe2ae4a16f43a9bb28e1d59704a8234d","Conference paper","Final","","Scopus","2-s2.0-105028296331"
"Soni, P.; Tandan, G.","Soni, Palvi (59244946300); Tandan, Gajendra (59245553900)","59244946300; 59245553900","Securing firmware updates in embedded devices: Using trusted execution environments and blockchain-driven integrity verification","2026","AIP Conference Proceedings","3345","1","020126","","","0","10.1063/5.0298713","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028284117&doi=10.1063%2F5.0298713&partnerID=40&md5=c0130475eab99c370df409cc5972fa6e","Conference paper","Final","","Scopus","2-s2.0-105028284117"
"An, Z.; Shao, P.; Xv, Q.; Sun, X.; Zuo, Y.; Cheng, L.","An, Zeting (58067026500); Shao, Peng (60353682300); Xv, Qianlin (60353457500); Sun, Xialin (60353742800); Zuo, Yuhang (60353570500); Cheng, Lin (60310711300)","58067026500; 60353682300; 60353457500; 60353742800; 60353570500; 60310711300","Construction and Verification of an Intelligent Connected Vehicle Training Platform Based on Mixed Reality and Artificial Intelligence","2026","Proceedings of 2025 International Conference on Computer Technology, Digital Media and Communication, ICCDC 2025","","","","361","366","0","10.1145/3783669.3783724","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028699772&doi=10.1145%2F3783669.3783724&partnerID=40&md5=0414bdeb3895c8a3a1857746ff2e9792","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105028699772"
"Saghaei, S.; Siemers, M.; Ossetek, K.L.; Richter, S.; Edwards, R.A.; Roux, S.; Zieleziński, A.; Dutilh, B.E.; März, M.; Cassman, N.A.","Saghaei, Shahram (58620661600); Siemers, Malte (57201995640); Ossetek, Kilian Lucas (58964324100); Richter, Stephan (60338213600); Edwards, Robert A. (35560915600); Roux, Simon (53878363000); Zieleziński, Andrzej (36237685200); Dutilh, Bas E. (6602113179); März, Manja (23134902300); Cassman, Noriko A. (55372176600)","58620661600; 57201995640; 58964324100; 60338213600; 35560915600; 53878363000; 36237685200; 6602113179; 23134902300; 55372176600","VirJenDB: a FAIR (meta)data and bioinformatics platform for all viruses","2026","Nucleic Acids Research","54","1","","D912","D924","0","10.1093/nar/gkaf1224","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027789570&doi=10.1093%2Fnar%2Fgkaf1224&partnerID=40&md5=0b93f9354ac89b6cfd823deff849fe57","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105027789570"
"Reif, A.K.; Hanke, F.; Ramírez-Agudelo, O.H.; Karl, M.","Reif, Aliza Katharina (60106774500); Hanke, Felix (59033664600); Ramírez-Agudelo, Oscar Herńan (55915856100); Karl, Michael (59033664700)","60106774500; 59033664600; 55915856100; 59033664700","A Provenance Chain for Decentralized Data Ecosystems in Space Missions","2026","AIAA Science and Technology Forum and Exposition, AIAA SciTech Forum 2026","","","","","","0","10.2514/6.2026-2666","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105031186710&doi=10.2514%2F6.2026-2666&partnerID=40&md5=b3ff41f847b3bdc85ca3a20f00b312cf","Conference paper","Final","","Scopus","2-s2.0-105031186710"
"Kent, J.D.; N.; Laird, A.R.; Salo, T.; Peraza, J.; Bottenhorn, K.L.; Oudyk, K.; Nichols, T.E.; Poline, J.-B.; De La Vega, A.","Kent, James D. (57195494621); Laird, Angela R. (7004999301); Salo, Taylor P. (56906703200); Peraza, Julio A. (57867253600); Bottenhorn, Katherine L. (56829512200); Oudyk, Kendra (57219790906); Nichols, Thomas E. (7102408893); Poline, Jean Baptiste (7003479971); De La Vega, Alejandro I. (55925533200)","57195494621; 60411692900; 7004999301; 56906703200; 57867253600; 56829512200; 57219790906; 7102408893; 7003479971; 55925533200","Neurosynth Compose: A web-based platform for flexible and reproducible neuroimaging meta-analysis","2026","Imaging Neuroscience","4","","","","","2","10.1162/IMAG.a.1114","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105030862178&doi=10.1162%2FIMAG.a.1114&partnerID=40&md5=cfd0cb1908232023b8178e4c40e5644a","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105030862178"
"I.C.A.; J.L.; Tan, W.M.","; Tan, Wilson Mazo (55615806100)","60412311900; 60412159500; 55615806100","MasquerAge: Anonymous Age Verification Using the Modular Open Source Identity Platform","2026","Smart Innovation, Systems and Technologies","468 SIST","","","547","557","0","10.1007/978-3-032-12999-4_48","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105030830925&doi=10.1007%2F978-3-032-12999-4_48&partnerID=40&md5=e8b96174b03b038f61fe1f4b509c92ab","Conference paper","Final","","Scopus","2-s2.0-105030830925"
