PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"37978124","How does blockchain technology affect the development of green finance? Theoretical analysis and empirical verification","Jiang J, Li J, Wang W.","Environ Sci Pollut Res Int. 2023 Dec;30(58):122774-122790. doi: 10.1007/s11356-023-31035-0. Epub 2023 Nov 17.","Jiang J","Environ Sci Pollut Res Int","2023","2023/11/17","","","10.1007/s11356-023-31035-0"
"41040803","A decentralized future for the open-science databases","Sharma G, Munteanu V, Ghiasi NM, Banerjee J, Varma S, Foschini L, Ellrott K, Mutlu O, Ciorbă D, Ophoff RA, Bostan V, Mason CE, Moore JH, Sousoni D, Krishnan A, Mason CE, Dimian M, Stolovitzky G, Liberante FG, Oleksyk TK, Mangul S.","ArXiv [Preprint]. 2025 Sep 23:arXiv:2509.19206v1.","Sharma G","ArXiv","2025","2025/10/03","PMC12486051","",""
"31829015","Fast and Reproducible ELISA Laser Platform for Ultrasensitive Protein Quantification","Tan X, Chen Q, Zhu H, Zhu S, Gong Y, Wu X, Chen YC, Li X, Li MW, Liu W, Fan X.","ACS Sens. 2020 Jan 24;5(1):110-117. doi: 10.1021/acssensors.9b01795. Epub 2019 Dec 23.","Tan X","ACS Sens","2020","2019/12/13","","","10.1021/acssensors.9b01795"
"35939304","Sex and Location Differences in Verification Status of Physician-Held Social Media Platform Accounts","Rupert D, Shah K, Chen BY, O'Glasser AY, Schiml M, Jain S, Chino F.","JAMA Netw Open. 2022 Aug 1;5(8):e2225671. doi: 10.1001/jamanetworkopen.2022.25671.","Rupert D","JAMA Netw Open","2022","2022/08/08","PMC9361082","","10.1001/jamanetworkopen.2022.25671"
"33768291","Long-term inter-platform reproducibility, bias, and linearity of commercial PDFF MRI methods for fat quantification: a multi-center, multi-vendor phantom study","Schneider E, Remer EM, Obuchowski NA, McKenzie CA, Ding X, Navaneethan SD.","Eur Radiol. 2021 Oct;31(10):7566-7574. doi: 10.1007/s00330-021-07851-8. Epub 2021 Mar 25.","Schneider E","Eur Radiol","2021","2021/03/26","","","10.1007/s00330-021-07851-8"
"38715763","Harnessing Blockchain to Transform Healthcare Data Management: A Comprehensive Research Agenda","Treiblmaier H, Rejeb A, Gault M, Khurshid A, Norta A, Poteet J, Sivagnanam S.","Blockchain Healthc Today. 2024 Apr 30;7. doi: 10.30953/bhty.v7.301. eCollection 2024.","Treiblmaier H","Blockchain Healthc Today","2024","2024/05/08","PMC11073478","","10.30953/bhty.v7.301"
"36097180","The Criminal Justice Administrative Records System: A next-generation research data platform","Finlay K, Mueller-Smith M, Papp J.","Sci Data. 2022 Sep 12;9(1):562. doi: 10.1038/s41597-022-01620-y.","Finlay K","Sci Data","2022","2022/09/13","PMC9468342","","10.1038/s41597-022-01620-y"
"32563430","Spherical center and rotating platform hinged knee prosthesis: Finite-element model establishment, verification and contact analysis","Zhang JY, Wang J, Tian DM, Jiang DP, Li JJ, Hu YC.","Knee. 2020 Jun;27(3):731-739. doi: 10.1016/j.knee.2020.04.022. Epub 2020 May 19.","Zhang JY","Knee","2020","2020/06/22","","","10.1016/j.knee.2020.04.022"
"31976701","Cross-Platform Verification of Intermediate Scale Quantum Devices","Elben A, Vermersch B, van Bijnen R, Kokail C, Brydges T, Maier C, Joshi MK, Blatt R, Roos CF, Zoller P.","Phys Rev Lett. 2020 Jan 10;124(1):010504. doi: 10.1103/PhysRevLett.124.010504.","Elben A","Phys Rev Lett","2020","2020/01/25","","","10.1103/PhysRevLett.124.010504"
"37483827","PharmaChain: Blockchain-based drug supply chain provenance verification system","Gomasta SS, Dhali A, Tahlil T, Anwar MM, Ali ABMS.","Heliyon. 2023 Jul 10;9(7):e17957. doi: 10.1016/j.heliyon.2023.e17957. eCollection 2023 Jul.","Gomasta SS","Heliyon","2023","2023/07/24","PMC10362317","","10.1016/j.heliyon.2023.e17957"
"30532669","Suggested Procedures for the Reproducible Synthesis of Poly(d,l-lactide-co-glycolide) Nanoparticles Using the Emulsification Solvent Diffusion Platform","Haque S, Boyd BJ, McIntosh MP, Pouton CW, Kaminskas LM, Whittaker M.","Curr Nanosci. 2018 Oct;14(5):448-453. doi: 10.2174/1573413714666180313130235.","Haque S","Curr Nanosci","2018","2018/12/12","PMC6225335","","10.2174/1573413714666180313130235"
"34003431","The C-BIG Repository: an Institution-Level Open Science Platform","Das S, Abou-Haidar R, Rabalais H, Sun SDLW, Rosli Z, Chatpar K, Boivin MN, Tabatabaei M, Rogers C, Legault M, Lo D, Degroot C, Dagher A, Dyke SOM, Durcan TM, Seyller A, Doyon J, Poupon V, Fon EA, Genge A, Rouleau GA, Karamchandani J, Evans AC.","Neuroinformatics. 2022 Jan;20(1):139-153. doi: 10.1007/s12021-021-09516-9. Epub 2021 May 18.","Das S","Neuroinformatics","2022","2021/05/18","PMC9537233","","10.1007/s12021-021-09516-9"
"33974367","Electronic Health Records As a Platform for Audiological Research: Data Validity, Patient Characteristics, and Hearing-Aid Use Persistence Among 731,213 U.S. Veterans","Saunders GH, Dillard LK, Zobay O, Cannon JB, Naylor G.","Ear Hear. 2021 July/Aug;42(4):927-940. doi: 10.1097/AUD.0000000000000980.","Saunders GH","Ear Hear","2021","2021/05/11","PMC8221720","","10.1097/AUD.0000000000000980"
"33758877","Automated Production of Research Data Marts from a Canonical Fast Healthcare Interoperability Resource (FHIR) Data Repository: Applications to COVID-19 Research","Lenert LA, Ilatovskiy AV, Agnew J, Rudsill P, Jacobs J, Weatherston D, Deans K.","medRxiv [Preprint]. 2021 Mar 12:2021.03.11.21253384. doi: 10.1101/2021.03.11.21253384.","Lenert LA","medRxiv","2021","2021/03/24","PMC7987036","","10.1101/2021.03.11.21253384"
"31500403","Inter-platform reproducibility of liver stiffness measured with two different point shear wave elastography techniques and 2-dimensional shear wave elastography using the comb-push technique","Ryu H, Ahn SJ, Yoon JH, Lee JM.","Ultrasonography. 2019 Oct;38(4):345-354. doi: 10.14366/usg.19001. Epub 2019 Mar 23.","Ryu H","Ultrasonography","2019","2019/09/11","PMC6769187","","10.14366/usg.19001"
"32810171","The semantic storage loss score: An Algorithm for measuring an individual's level of semantic storage loss due to temporal lobe damage in neurodegenerative disease","Roncero C, Nikelski J, Probst S, Fernandez A, Thiel A, Chertkow H.","PLoS One. 2020 Aug 18;15(8):e0235810. doi: 10.1371/journal.pone.0235810. eCollection 2020.","Roncero C","PLoS One","2020","2020/08/19","PMC7433857","","10.1371/journal.pone.0235810"
"34382729","Improving Reproducibility in Hydrogen Storage Material Research","Broom DP, Hirscher M.","Chemphyschem. 2021 Nov 4;22(21):2141-2157. doi: 10.1002/cphc.202100508. Epub 2021 Aug 31.","Broom DP","Chemphyschem","2021","2021/08/12","PMC8596736","","10.1002/cphc.202100508"
"34257964","Verification of performance of a direct fluorescent assay for cell-free DNA quantification, stability according to pre-analytical storage conditions, and the effect of freeze-thawing","Kim JJ, Park K, Han YR, Kim SH, Oh SB, Oh SY, Hong YJ, Yun MS.","Biomed Rep. 2021 Aug;15(2):68. doi: 10.3892/br.2021.1444. Epub 2021 Jun 15.","Kim JJ","Biomed Rep","2021","2021/07/14","PMC8243239","","10.3892/br.2021.1444"
"35646514","Methods of medical data management based on blockchain technologies","Hovorushchenko T, Moskalenko A, Osyadlyi V.","J Reliab Intell Environ. 2023;9(1):5-16. doi: 10.1007/s40860-022-00178-1. Epub 2022 May 24.","Hovorushchenko T","J Reliab Intell Environ","2023","2022/06/01","PMC9127494","","10.1007/s40860-022-00178-1"
"38353856","Inter-platform reproducibility of ultrasound-based fat fraction for evaluating hepatic steatosis in nonalcoholic fatty liver disease","Jeon SK, Lee JM.","Insights Imaging. 2024 Feb 14;15(1):46. doi: 10.1186/s13244-024-01611-0.","Jeon SK","Insights Imaging","2024","2024/02/14","PMC10866839","","10.1186/s13244-024-01611-0"
"35743748","No-Code Platform-Based Deep-Learning Models for Prediction of Colorectal Polyp Histology from White-Light Endoscopy Images: Development and Performance Verification","Gong EJ, Bang CS, Lee JJ, Seo SI, Yang YJ, Baik GH, Kim JW.","J Pers Med. 2022 Jun 12;12(6):963. doi: 10.3390/jpm12060963.","Gong EJ","J Pers Med","2022","2022/06/24","PMC9225479","","10.3390/jpm12060963"
"38656479","An Overview of High-Throughput Crop Phenotyping: Platform, Image Analysis, Data Mining, and Data Management","Yang W, Feng H, Hu X, Song J, Guo J, Lu B.","Methods Mol Biol. 2024;2787:3-38. doi: 10.1007/978-1-0716-3778-4_1.","Yang W","Methods Mol Biol","2024","2024/04/24","","","10.1007/978-1-0716-3778-4_1"
"37449155","Blockchain-based fake news traceability and verification mechanism","Wang X, Xie H, Ji S, Liu L, Huang D.","Heliyon. 2023 Jun 15;9(7):e17084. doi: 10.1016/j.heliyon.2023.e17084. eCollection 2023 Jul.","Wang X","Heliyon","2023","2023/07/14","PMC10336416","","10.1016/j.heliyon.2023.e17084"
"35489943","Objective evaluation of wearable thermoelectric generator: From platform building to performance verification","Xu Z, Yang D, Yuan X, Hua S, You H, Xing Y, Hu K, Wang J, Xiao Y, Yan Y, Tang X.","Rev Sci Instrum. 2022 Apr 1;93(4):045105. doi: 10.1063/5.0087672.","Xu Z","Rev Sci Instrum","2022","2022/04/30","","","10.1063/5.0087672"
"34827428","Verification of Blood-Brain Barrier Disruption Based on the Clinical Validation Platform Using a Rat Model with Human Skull","Park CY, Seo H, Lee EH, Han M, Choi H, Park KS, Yoon SY, Chang SH, Park J.","Brain Sci. 2021 Oct 28;11(11):1429. doi: 10.3390/brainsci11111429.","Park CY","Brain Sci","2021","2021/11/27","PMC8615862","","10.3390/brainsci11111429"
"38660778","Reproducible generation of human liver organoids (HLOs) on a pillar plate platform via microarray 3D bioprinting","Shrestha S, Lekkala VKR, Acharya P, Kang SY, Vanga MG, Lee MY.","Lab Chip. 2024 May 14;24(10):2747-2761. doi: 10.1039/d4lc00149d.","Shrestha S","Lab Chip","2024","2024/04/25","PMC11605706","NIHMS2035667","10.1039/d4lc00149d"
"31556780","Automating Complex, Multistep Processes on a Single Robotic Platform to Generate Reproducible Phosphoproteomic Data","Mullis BT, Hwang S, Lee LA, Iliuk A, Woolsey R, Quilici D, Wang Q.","SLAS Discov. 2020 Mar;25(3):277-286. doi: 10.1177/2472555219878152. Epub 2019 Sep 26.","Mullis BT","SLAS Discov","2020","2019/09/27","","","10.1177/2472555219878152"
"37090033","QuNex-An integrative platform for reproducible neuroimaging analytics","Ji JL, Demšar J, Fonteneau C, Tamayo Z, Pan L, Kraljič A, Matkovič A, Purg N, Helmer M, Warrington S, Winkler A, Zerbi V, Coalson TS, Glasser MF, Harms MP, Sotiropoulos SN, Murray JD, Anticevic A, Repovš G.","Front Neuroinform. 2023 Apr 5;17:1104508. doi: 10.3389/fninf.2023.1104508. eCollection 2023.","Ji JL","Front Neuroinform","2023","2023/04/24","PMC10113546","","10.3389/fninf.2023.1104508"
"33459865","Carbon allocation to growth and storage depends on elevation provenance in an herbaceous alpine plant of Mediterranean climate","Reyes-Bahamonde C, Piper FI, Cavieres LA.","Oecologia. 2021 Feb;195(2):299-312. doi: 10.1007/s00442-020-04839-x. Epub 2021 Jan 18.","Reyes-Bahamonde C","Oecologia","2021","2021/01/18","","","10.1007/s00442-020-04839-x"
"30603816","Medical Data Management on Blockchain with Privacy","Tian H, He J, Ding Y.","J Med Syst. 2019 Jan 3;43(2):26. doi: 10.1007/s10916-018-1144-x.","Tian H","J Med Syst","2019","2019/01/04","","","10.1007/s10916-018-1144-x"
"35494870","A collaborative semantic-based provenance management platform for reproducibility","Samuel S, König-Ries B.","PeerJ Comput Sci. 2022 Mar 10;8:e921. doi: 10.7717/peerj-cs.921. eCollection 2022.","Samuel S","PeerJ Comput Sci","2022","2022/05/02","PMC9044346","","10.7717/peerj-cs.921"
"38412098","Tracking the neural codes for words and phrases during semantic composition, working-memory storage, and retrieval","Desbordes T, King JR, Dehaene S.","Cell Rep. 2024 Mar 26;43(3):113847. doi: 10.1016/j.celrep.2024.113847. Epub 2024 Feb 26.","Desbordes T","Cell Rep","2024","2024/02/27","","","10.1016/j.celrep.2024.113847"
"33009724","New frontiers in translational research: Touchscreens, open science, and the mouse translational research accelerator platform","Sullivan JA, Dumont JR, Memar S, Skirzewski M, Wan J, Mofrad MH, Ansari HZ, Li Y, Muller L, Prado VF, Prado MAM, Saksida LM, Bussey TJ.","Genes Brain Behav. 2021 Jan;20(1):e12705. doi: 10.1111/gbb.12705. Epub 2020 Nov 10.","Sullivan JA","Genes Brain Behav","2021","2020/10/03","","","10.1111/gbb.12705"
"33566788","Reliable Co-Prognosability of Decentralized Stochastic Discrete-Event Systems and a Polynomial-Time Verification","Liao H, Liu F, Zhao R.","IEEE Trans Cybern. 2022 Jul;52(7):6207-6216. doi: 10.1109/TCYB.2021.3051260. Epub 2022 Jul 4.","Liao H","IEEE Trans Cybern","2022","2021/02/10","","","10.1109/TCYB.2021.3051260"
"36040302","Neuroscout, a unified platform for generalizable and reproducible fMRI research","de la Vega A, Rocca R, Blair RW, Markiewicz CJ, Mentch J, Kent JD, Herholz P, Ghosh SS, Poldrack RA, Yarkoni T.","Elife. 2022 Aug 30;11:e79277. doi: 10.7554/eLife.79277.","de la Vega A","Elife","2022","2022/08/30","PMC9489206","","10.7554/eLife.79277"
"37644024","re3data - Indexing the Global Research Data Repository Landscape Since 2012","Pampel H, Weisweiler NL, Strecker D, Witt M, Vierkant P, Elger K, Bertelmann R, Buys M, Ferguson LM, Kindling M, Kotarski R, Petras V.","Sci Data. 2023 Aug 29;10(1):571. doi: 10.1038/s41597-023-02462-y.","Pampel H","Sci Data","2023","2023/08/29","PMC10465540","","10.1038/s41597-023-02462-y"
"33817033","Semantic micro-contributions with decentralized nanopublication services","Kuhn T, Taelman R, Emonet V, Antonatos H, Soiland-Reyes S, Dumontier M.","PeerJ Comput Sci. 2021 Mar 8;7:e387. doi: 10.7717/peerj-cs.387. eCollection 2021.","Kuhn T","PeerJ Comput Sci","2021","2021/04/05","PMC7959648","","10.7717/peerj-cs.387"
"38559126","Reproducible generation of human liver organoids (HLOs) on a pillar plate platform via microarray 3D bioprinting","Shrestha S, Lekkala VKR, Acharya P, Kang SY, Vanga MG, Lee MY.","bioRxiv [Preprint]. 2024 Mar 13:2024.03.11.584478. doi: 10.1101/2024.03.11.584478.","Shrestha S","bioRxiv","2024","2024/04/01","PMC10979895","","10.1101/2024.03.11.584478"
"30788182","Blockchain Applications for Healthcare Data Management","Dimitrov DV.","Healthc Inform Res. 2019 Jan;25(1):51-56. doi: 10.4258/hir.2019.25.1.51. Epub 2019 Jan 31.","Dimitrov DV","Healthc Inform Res","2019","2019/02/22","PMC6372466","","10.4258/hir.2019.25.1.51"
"35064372","Studierfenster: an Open Science Cloud-Based Medical Imaging Analysis Platform","Egger J, Wild D, Weber M, Bedoya CAR, Karner F, Prutsch A, Schmied M, Dionysio C, Krobath D, Jin Y, Gsaxner C, Li J, Pepe A.","J Digit Imaging. 2022 Apr;35(2):340-355. doi: 10.1007/s10278-021-00574-8. Epub 2022 Jan 21.","Egger J","J Digit Imaging","2022","2022/01/22","PMC8782222","","10.1007/s10278-021-00574-8"
"31665999","Qualitative Data Management and Analysis within a Data Repository","Antonio MG, Schick-Makaroff K, Doiron JM, Sheilds L, White L, Molzahn A.","West J Nurs Res. 2020 Aug;42(8):640-648. doi: 10.1177/0193945919881706. Epub 2019 Oct 30.","Antonio MG","West J Nurs Res","2020","2019/11/01","","","10.1177/0193945919881706"
"31488040","Design of a joint research data platform: A use case for severity assessment","Talbot SR, Bruch S, Kießling F, Marschollek M, Jandric B, Tolba RH, Bleich A.","Lab Anim. 2020 Feb;54(1):33-39. doi: 10.1177/0023677219872228. Epub 2019 Sep 5.","Talbot SR","Lab Anim","2020","2019/09/07","","","10.1177/0023677219872228"
"37713474","FrameD: framework for DNA-based data storage design, verification, and validation","Volkel KD, Lin KN, Hook PW, Timp W, Keung AJ, Tuck JM.","Bioinformatics. 2023 Oct 3;39(10):btad572. doi: 10.1093/bioinformatics/btad572.","Volkel KD","Bioinformatics","2023","2023/09/15","PMC10563143","","10.1093/bioinformatics/btad572"
"37498959","The Canadian Open Neuroscience Platform-An open science framework for the neuroscience community","Harding RJ, Bermudez P, Bernier A, Beauvais M, Bellec P, Hill S, Karakuzu A, Knoppers BM, Pavlidis P, Poline JB, Roskams J, Stikov N, Stone J, Strother S; CONP Consortium; Evans AC.","PLoS Comput Biol. 2023 Jul 27;19(7):e1011230. doi: 10.1371/journal.pcbi.1011230. eCollection 2023 Jul.","Harding RJ","PLoS Comput Biol","2023","2023/07/27","PMC10374086","","10.1371/journal.pcbi.1011230"
"36325857","Decentralized EHRs in the Semantic Web for Better Health Data Management","Celuchova Bosanska D, Huptych M, Lhotská L.","Stud Health Technol Inform. 2022 Nov 3;299:157-162. doi: 10.3233/SHTI220975.","Celuchova Bosanska D","Stud Health Technol Inform","2022","2022/11/03","","","10.3233/SHTI220975"
"35289369","The Biomedical Research Hub: a federated platform for patient research data","Barnes C, Bajracharya B, Cannalte M, Gowani Z, Haley W, Kass-Hout T, Hernandez K, Ingram M, Juvvala HP, Kuffel G, Martinov P, Maxwell JM, McCann J, Malhotra A, Metoki-Shlubsky N, Meyer C, Paredes A, Qureshi J, Ritter X, Schumm P, Shao M, Sheth U, Simmons T, VanTol A, Zhang Z, Grossman RL.","J Am Med Inform Assoc. 2022 Mar 15;29(4):619-625. doi: 10.1093/jamia/ocab247.","Barnes C","J Am Med Inform Assoc","2022","2022/03/15","PMC8922179","","10.1093/jamia/ocab247"
"40628696","Towards fair decentralized benchmarking of healthcare AI algorithms with the Federated Tumor Segmentation (FeTS) challenge","Zenk M, Baid U, Pati S, Linardos A, Edwards B, Sheller M, Foley P, Aristizabal A, Zimmerer D, Gruzdev A, Martin J, Shinohara RT, Reinke A, Isensee F, Parampottupadam S, Parekh K, Floca R, Kassem H, Baheti B, Thakur S, Chung V, Kushibar K, Lekadir K, Jiang M, Yin Y, Yang H, Liu Q, Chen C, Dou Q, Heng PA, Zhang X, Zhang S, Khan MI, Azeem MA, Jafaritadi M, Alhoniemi E, Kontio E, Khan SA, Mächler L, Ezhov I, Kofler F, Shit S, Paetzold JC, Loehr T, Wiestler B, Peiris H, Pawar K, Zhong S, Chen Z, Hayat M, Egan G, Harandi M, Isik Polat E, Polat G, Kocyigit A, Temizel A, Tuladhar A, Tyagi L, Souza R, Forkert ND, Mouches P, Wilms M, Shambhat V, Maurya A, Danannavar SS, Kalla R, Anand VK, Krishnamurthi G, Nalawade S, Ganesh C, Wagner B, Reddy D, Das Y, Yu FF, Fei B, Madhuranthakam AJ, Maldjian J, Singh G, Ren J, Zhang W, An N, Hu Q, Zhang Y, Zhou Y, Siomos V, Tarroni G, Passerrat-Palmbach J, Rawat A, Zizzo G, Kadhe SR, Epperlein JP, Braghin S, Wang Y, Kanagavelu R, Wei Q, Yang Y, Liu Y, Kotowski K, Adamski S, Machura B, et al.","Nat Commun. 2025 Jul 8;16(1):6274. doi: 10.1038/s41467-025-60466-1.","Zenk M","Nat Commun","2025","2025/07/08","PMC12238412","","10.1038/s41467-025-60466-1"
"30305139","Consistent and reproducible cultures of large-scale 3D mammary epithelial structures using an accessible bioprinting platform","Reid JA, Mollica PA, Bruno RD, Sachs PC.","Breast Cancer Res. 2018 Oct 10;20(1):122. doi: 10.1186/s13058-018-1045-4.","Reid JA","Breast Cancer Res","2018","2018/10/12","PMC6180647","","10.1186/s13058-018-1045-4"
"30055689","Reproducibility of laser in situ keratomileusis flap thickness using a new multifunctional femtosecond laser platform and correlation with clinical preoperative measurements","Colombo-Barboza MN, Colombo-Barboza GN, Colombo-Barboza LR, Matuoka ML, Neto AL, de Freitas D.","J Cataract Refract Surg. 2018 Jul;44(7):811-817. doi: 10.1016/j.jcrs.2018.05.008.","Colombo-Barboza MN","J Cataract Refract Surg","2018","2018/07/30","","","10.1016/j.jcrs.2018.05.008"
"35440038","PEGR: a flexible management platform for reproducible epigenomic and genomic research","Shao D, Kellogg GD, Nematbakhsh A, Kuntala PK, Mahony S, Pugh BF, Lai WKM.","Genome Biol. 2022 Apr 19;23(1):99. doi: 10.1186/s13059-022-02671-5.","Shao D","Genome Biol","2022","2022/04/20","PMC9016988","","10.1186/s13059-022-02671-5"
"31008162","FASSEG: A FAce semantic SEGmentation repository for face image analysis","Benini S, Khan K, Leonardi R, Mauro M, Migliorati P.","Data Brief. 2019 Mar 29;24:103881. doi: 10.1016/j.dib.2019.103881. eCollection 2019 Jun.","Benini S","Data Brief","2019","2019/04/23","PMC6454221","","10.1016/j.dib.2019.103881"
"35019338","Reproducible and Characterized Method for Ponatinib Encapsulation into Biomimetic Lipid Nanoparticles as a Platform for Multi-Tyrosine Kinase-Targeted Therapy","Zinger A, Baudo G, Naoi T, Giordano F, Lenna S, Massaro M, Ewing A, Kim HR, Tasciotti E, Yustein JT, Taraballi F.","ACS Appl Bio Mater. 2020 Oct 19;3(10):6737-6745. doi: 10.1021/acsabm.0c00685. Epub 2020 Sep 2.","Zinger A","ACS Appl Bio Mater","2020","2022/01/12","","","10.1021/acsabm.0c00685"
"34933319","Assessment of the inter-platform reproducibility of ultrasound attenuation examination in nonalcoholic fatty liver disease","Jeon SK, Lee JM, Joo I, Yoon JH.","Ultrasonography. 2022 Apr;41(2):355-364. doi: 10.14366/usg.21167. Epub 2021 Oct 31.","Jeon SK","Ultrasonography","2022","2021/12/21","PMC8942738","","10.14366/usg.21167"
"37818860","PLANTdataHUB: a collaborative platform for continuous FAIR data sharing in plant research","Weil HL, Schneider K, Tschöpe M, Bauer J, Maus O, Frey K, Brilhaus D, Martins Rodrigues C, Doniparthi G, Wetzels F, Lukasczyk J, Kranz A, Grüning B, Zimmer D, Deßloch S, von Suchodoletz D, Usadel B, Garth C, Mühlhaus T.","Plant J. 2023 Nov;116(4):974-988. doi: 10.1111/tpj.16474. Epub 2023 Oct 11.","Weil HL","Plant J","2023","2023/10/11","","","10.1111/tpj.16474"
"35845844","Codabench: Flexible, easy-to-use, and reproducible meta-benchmark platform","Xu Z, Escalera S, Pavão A, Richard M, Tu WW, Yao Q, Zhao H, Guyon I.","Patterns (N Y). 2022 Jun 24;3(7):100543. doi: 10.1016/j.patter.2022.100543. eCollection 2022 Jul 8.","Xu Z","Patterns (N Y)","2022","2022/07/18","PMC9278500","","10.1016/j.patter.2022.100543"
"36401317","MarineMetagenomeDB: a public repository for curated and standardized metadata for marine metagenomes","Nata'ala MK, Avila Santos AP, Coelho Kasmanas J, Bartholomäus A, Saraiva JP, Godinho Silva S, Keller-Costa T, Costa R, Gomes NCM, Ponce de Leon Ferreira de Carvalho AC, Stadler PF, Sipoli Sanches D, Nunes da Rocha U.","Environ Microbiome. 2022 Nov 18;17(1):57. doi: 10.1186/s40793-022-00449-7.","Nata'ala MK","Environ Microbiome","2022","2022/11/19","PMC9675116","","10.1186/s40793-022-00449-7"
"34529581","On the Design of Blockchain-Based ECDSA With Fault-Tolerant Batch Verification Protocol for Blockchain-Enabled IoMT","Xiong H, Jin C, Alazab M, Yeh KH, Wang H, Gadekallu TR, Wang W, Su C.","IEEE J Biomed Health Inform. 2022 May;26(5):1977-1986. doi: 10.1109/JBHI.2021.3112693. Epub 2022 May 5.","Xiong H","IEEE J Biomed Health Inform","2022","2021/09/16","","","10.1109/JBHI.2021.3112693"
