"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Weise M.; Rauber A.","Weise, Martin (57454396000); Rauber, Andreas (57074846700)","57454396000; 57074846700","DBRepo: A Data Repository System for Research Data in Databases","2024","Proceedings - 2024 IEEE International Conference on Big Data, BigData 2024","","","","322","331","0","10.1109/BigData62323.2024.10825401","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218037659&doi=10.1109%2FBigData62323.2024.10825401&partnerID=40&md5=f26a978d8934ebec0947f18a773b02aa","In the era of big data, research has become increasingly data-driven, with vast amounts of information being generated and analyzed to produce new insights and discoveries. This data deluge requires a combination of methods and technologies to store, process, share and preserve research data. With many of the world's most valuable data being stored in relational databases where it evolves over time as new knowledge is gained and old knowledge invalidated, current repository systems fail to provide researchers with interfaces to conveniently work with this kind of data within their research environments. For this reason, we have developed DBRepo, an institutional data repository for research data in databases (DBRepo) supporting guidelines of the Working Group on Data Citation of the Research Data Alliance. The system has been in use at TU Wien for almost three years now and provides a variety of data science-related interfaces and can be integrated into many workflows and tools. Further, it assists researchers in depositing their datasets by suggesting the table schema (column names, data types, primary key constraints) and it addresses data interoperability issues by suggesting semantic concepts for dataset columns and units of measurements, where applicable. DBRepo is currently in use by six universities globally who use it as data store for hot and cold research data sets. In the paper, we describe their use-cases and provide lessons learned from the various deployments and workflows. Finally, we show how depositing research data into DBRepo increases the data's visibility. © 2024 IEEE.","relational databases; research data management; research data repositories","'current; Amount of information; Data driven; Data repositories; Relational Database; Repository systems; Research data; Research data managements; Research data repository; Work-flows","Conference paper","Final","","Scopus","2-s2.0-85218037659"
"Yang S.; Liu Y.; Meng J.; Li B.","Yang, Shengju (57197763831); Liu, Yong (60132113700); Meng, Jie (57217104230); Li, Bo (59910119000)","57197763831; 60132113700; 57217104230; 59910119000","Research on the Construction of Science and Technology Resource Big Data Management Platform Model Based on IPFS","2025","IEEE Joint International Information Technology and Artificial Intelligence Conference (ITAIC)","","","","133","136","0","10.1109/ITAIC64559.2025.11163217","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018230171&doi=10.1109%2FITAIC64559.2025.11163217&partnerID=40&md5=9daf8caccaf248053ca17e92d648921a","Analyzing the current problems in the management of technology resource big data, utilizing the unique advantages of decentralization and immutability of blockchain, and leveraging IPFS distributed large capacity storage technology, a technology resource big data management platform model based on blockchain and IPFS is proposed. The overall architecture, research coin model, functional modules, and smart contracts of the platform were designed in detail, and the Fabric consortium chain and IPFS private cluster were built to verify the scientificity and effectiveness of the platform model, providing new theoretical basis and technical route for the management of big data in technology resources. © 2025 IEEE.","Big Data; Blockchain; IPFS; Science and Technology Resource","Digital storage; Information management; Natural resources management; Block-chain; Current problems; IPFS; Management of technology; Management platforms; Model-based OPC; Platform models; Science and Technology; Science and technology resource; Technology resources; Big data","Conference paper","Final","","Scopus","2-s2.0-105018230171"
"Mahmoud N.; Abdelkader H.; Aly A.","Mahmoud, Nesma (7006615065); Abdelkader, Hatem (60366119700); Aly, Asmaa (57962481900)","7006615065; 60366119700; 57962481900","BRIP: Towards a privacy-preserving, trustworthy, and transparent ride-sharing system with semantic matching powered by blockchain and IPFS","2024","Journal of Network and Computer Applications","226","","103870","","","9","10.1016/j.jnca.2024.103870","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190134289&doi=10.1016%2Fj.jnca.2024.103870&partnerID=40&md5=db06879fb3328baeab7ea8130a59555f","This paper introduces a decentralized ride-sharing system called BRIP that utilizes blockchain technology. BRIP addresses various issues commonly associated with centralized ride-sharing such as single points of failure, privacy violations, lack of security and transparency, and distributed denial of service (DDoS) attacks, by utilizing the blockchain. It also integrates the Interplanetary File System (IPFS) with blockchain to move ride-sharing data from the blockchain to the IPFS and retaining only a compact IPFS hash for storage. This integration resolves the scalability challenges associated with storing and handling large volumes of ride-sharing data on the blockchain. However, the use of blockchain technology alone, even with IPFS integration, does not guarantee complete solutions for privacy, security, transparency, and trust. Therefore, to ensure security and privacy in BRIP, ride-sharing data is encrypted before being stored in the IPFS and blockchain, as well as processing these data. This paper also implements pseudonyms, unlinkability, and encryption techniques to protect users' privacy. To establish trust among users and ensure transparency of all ride-sharing transactions, we proposed an enhanced methodology by leveraging the capabilities of blockchain technology and smart contracts. This methodology is also designed in a way that helps in privacy-preservation, trust, and transparency. Furthermore, the trade-off between privacy-preservation is still a challenge in blockchain-based ride-sharing systems, which is resolved through semantic matching. Therefore, the paper proposes two semantic models, COR2Vec and customized Time2Vec, to accurately and semantically match, spatially and temporarily respectively, users while preserving their privacy. Finally, experimental results demonstrate the effectiveness and efficiency of the proposed BRIP system. © 2024 Elsevier Ltd","Blockchain; Interplanetary file system (IPFS); Privacy; Ride-sharing; Security; Semantic matching; Smart contracts; Transparency; Trust","Blockchain; Denial-of-service attack; Digital storage; Economic and social effects; File organization; Network security; Privacy-preserving techniques; Semantics; Transparency; Block-chain; Filesystem; Interplanetary file system; Privacy; Privacy preservation; Ride-sharing; Security; Semantic matching; Sharing systems; Trust; Smart contract","Article","Final","","Scopus","2-s2.0-85190134289"
"Khan A.M.; Loan F.A.; Parray U.Y.; Rashid S.","Khan, Aasif Mohammad (57446772700); Loan, Fayaz Ahmad (41961328500); Parray, Umer Yousuf (57446414800); Rashid, Sozia (57211167982)","57446772700; 41961328500; 57446414800; 57211167982","Global overview of research data repositories: an analysis of re3data registry","2024","Information Discovery and Delivery","52","1","","53","61","14","10.1108/IDD-07-2022-0069","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153175060&doi=10.1108%2FIDD-07-2022-0069&partnerID=40&md5=47ff20db00f5506a7b8d7fc19847093e","Purpose: Data sharing is increasingly being recognized as an essential component of scholarly research and publishing. Sharing data improves results and propels research and discovery forward. Given the importance of data sharing, the purpose of the study is to unveil the present scenario of research data repositories (RDR) and sheds light on strategies and tactics followed by different countries for efficient organization and optimal use of scientific literature. Design/methodology/approach: The data for the study is collected from registry of RDR (re3data registry) (re3data.org), which covers RDR from different academic disciplines and provides filtration options “Search” and “Browse” to access the repositories. Using these filtration options, the researchers collected metadata of repositories i.e. country wise contribution, content-type data, repository language interface, software usage, metadata standards and data access type. Furthermore, the data was exported to Google Sheets for analysis and visualization. Findings: The re3data registry holds a rich and diverse collection of data repositories from the majority of countries all over the world. It is revealed that English is the dominant language, and the most widely used software for the creation of data repositories are “DataVerse”, followed by “Dspace” and “MySQL”. The most frequently used metadata standards are “Dublin Core” and “Datacite metadata schema”. The majority of repositories are open, with more than half of the repositories being “disciplinary” in nature, and the most significant data sources include “scientific and statistical data” followed by “standard office documents”. Research limitations/implications: The main limitation of the study is that the findings are based on the data collected through a single registry of repositories, and only a few characteristic features were investigated. Originality/value: The study will benefit all countries with a small number of data repositories or no repositories at all, with tools and techniques used by the top repositories to ensure long-term storage and accessibility to research data. In addition to this, the study provides a global overview of RDR and its characteristic features. © 2022, Emerald Publishing Limited.","Data repositories; Data sharing; Re3data registry; Research data management; Research data repositories","","Article","Final","","Scopus","2-s2.0-85153175060"
"Ahmed I.; Toyoda K.; Nakano T.; Kasahara S.; Goyal S.R.; Tran T.H.","Ahmed, Istiaque (58545372600); Toyoda, Kentaroh (55035654600); Nakano, Tadashi (35569064500); Kasahara, Shoji (7102396277); Goyal, Somya R. (57191276120); Tran, Thi Hong (55206208900)","58545372600; 55035654600; 35569064500; 7102396277; 57191276120; 55206208900","A Systematic Review on Blockchain-Enabled eKYC: Leveraging SSI and DID for Secure and Efficient Identity Verification","2025","IEEE Internet of Things Journal","12","21","","44381","44401","2","10.1109/JIOT.2025.3597356","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013646819&doi=10.1109%2FJIOT.2025.3597356&partnerID=40&md5=606bd75d1fb78343036402a27afb0ff1","The rapid evolution of digital identity verification demands solutions that balance security, privacy, and efficiency. The electronic know your customer (eKYC) is a technological integration for client identification. It automates the process, reducing costs related to traditional know your customer (KYC). This includes eliminating paper-based document management, reducing manpower needs, and minimizing human errors. This systematic literature review (SLR) uses the preferred reporting items for systematic reviews and meta-analyses (PRISMA) model to investigate the revolutionary potential of blockchain-based electronic KYC (eKYC), focusing on self-sovereign identity (SSI) and Decentralized Identifiers (DID). The evaluation summarizes the current state by critically assessing 44 selected research works from an initial pool of 367. Our findings show that decentralized eKYC improves security with tamper-proof credentials and cryptographic verification. SSI and DID give users control over their data and selective disclosure. However, there are key limitations: 1) a focus on financial applications, ignoring Internet of Things (IoT) integration; 2) a lack of comprehensive technical analysis on scalability and interoperability; and 3) limited real-world case studies on regulatory compliance and challenges. This work combines insights from research and industry, highlighting the need for regulatory collaboration, hybrid architectures for scalability, and user-centric design. In addition, most identity management solutions are based on Ethereum (33%), followed by Hyperledger (18%). Around 51% of solutions use smart contracts, with banking (23%) and the financial industries (19%) being the primary adopters. It emphasizes the importance of standardized eKYC protocols, technical evaluations, and interdisciplinary collaboration for practical adoption across sectors. © 2014 IEEE.","Authentication; blockchain; DID; electronic know your customer (eKYC); privacy; selective disclosure; self-sovereign identity (SSI)","Authentication; Cryptography; Data privacy; Electronic document identification systems; Network security; Regulatory compliance; Systematic errors; Verification; Block-chain; Decentralised; Decentralized identifier; Digital identity; Electronic know your customer; Identity verification; Privacy; Selective disclosure; Self-sovereign identity; Systematic Review; Blockchain","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105013646819"
"Islam M.; Ahmed M.; Hossain S.; Khan N.A.","Islam, Mazharul (59221699300); Ahmed, Mubasshir (58557710800); Hossain, Shakib (60008456100); Khan, Niaz Ashraf (59012286800)","59221699300; 58557710800; 60008456100; 59012286800","A Blockchain-Based Medical Record Storage System for Healthcare Data Management","2025","Lecture Notes in Networks and Systems","1312 LNNS","","","273","285","0","10.1007/978-3-031-94620-2_24","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011269355&doi=10.1007%2F978-3-031-94620-2_24&partnerID=40&md5=c78630742c40ed33cdef2f0edd87a2db","The healthcare sector faces significant challenges in securely managing and storing patient data. This paper introduces a Blockchain-based Medical Record Storage System (BMRS), which provides a decentralized and secure framework for healthcare data management. Utilizing blockchain’s decentralization and immutability, BMRS offers a robust solution for storing and sharing sensitive medical data. In this model, patients have full control over their medical records and can grant or revoke access to other stakeholders. Healthcare professionals gain secure, real-time access to patient information, improving diagnosis and treatment, while insurance providers benefit from enhanced data integrity and reduced fraud through tamper-proof records. Each medical interaction is recorded as a transaction on the blockchain, creating a secure and unalterable record of patient history. Key features include cryptographic access control, compliance with regulations like HIPAA and GDPR, and smart contracts to automate data access. The system has been implemented and evaluated based on security, scalability, and transparency, demonstrating its potential to enhance privacy, trust, and collaboration in healthcare. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","Blockchain; Decentralized Healthcare System; Electronic Health Records (EHR); Medical Data Security; Smart Contracts","Cryptography; Diagnosis; Digital storage; Electronic health record; Hospital data processing; Information management; Medical computing; Network security; Patient treatment; Smart contract; Block-chain; Decentralised; Decentralized healthcare system; Electronic health; Electronic health record; Health records; Healthcare systems; Medical data; Medical data security; Medical record; Blockchain","Conference paper","Final","","Scopus","2-s2.0-105011269355"
"Pintz M.; Becker D.; Mock M.","Pintz, Maximilian (57221840333); Becker, Daniel (58510277500); Mock, Michael (25641600700)","57221840333; 58510277500; 25641600700","PARMA: A Platform Architecture to enable Automated, Reproducible, and Multi-party Assessments of AI Trustworthiness","2024","Proceedings - 2024 IEEE/ACM International Workshop on Responsible AI Engineering, RAIE 2024","","","","20","27","6","10.1145/3643691.3648585","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201206434&doi=10.1145%2F3643691.3648585&partnerID=40&md5=64c77535661a5d064571e76de976a907","As AI applications are emerging in diverse fields - e.g., industry, healthcare or finance - weaknesses and failures of such applications might bare unacceptable risks which need to be rigorously assessed, quantified and, if necessary, mitigated. One crucial component of an effective AI trustworthiness assessment and risk management are systematic evaluations of the AI application based on properly chosen and executed tests. In addition to the known requirements of providing facilities for automated and reproducible tests, an assessment platform for Trustworthy AI must support the integration of different AI models and data sets, must be extensible for AI risk specific metrics and test tools, and should facilitate collaboration between model providers, assessment tool developers and auditors. In this paper, we develop an architecture of a platform for automated, reproducible and collaborative assessments of AI applications, based on an in-depth requirements analysis that maps use cases and collaboration scenarios to technical requirements. © 2024 Copyright is held by the owner/author(s). Publication rights licensed to ACM.","","Automation; Risk assessment; AI applications; Automated test; Data set; Diverse fields; Management IS; Model set; Platform architecture; Reproducible tests; Risks management; Systematic evaluation; Risk management","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85201206434"
"Naik G.R.; Naik P.G.","Naik, Girish R. (59008319900); Naik, Poornima G. (57189504737)","59008319900; 57189504737","Fortifying Integrity, Traceability, and Operational Efficacy in Blockchain-Based Examination Management Through Formal Verification with TLA+","2025","2025 5th International Conference on Intelligent Technologies, CONIT 2025","","","","","","0","10.1109/CONIT65521.2025.11167034","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018307847&doi=10.1109%2FCONIT65521.2025.11167034&partnerID=40&md5=a18676b7c985e1f6d6ca80d29dba3c80","The current research sheds light on the potential of blockchain technology in contributing towards enhancement of security, transparency, and efficiency in an educational system. By securely storing academic records on Ethereum's decentralized ledger, the system automates administrative tasks, reduces fraud, thereby improving reliability and accessibility for students and institutions. The proposed smart contract facilitates a user-centric examination management system, addressing enduring challenges in education by providing an auditable trail of academic transactions. The research employs TLA+ (Temporal Logic of Actions) to model and verify the behaviour of smart contracts in a blockchainbased educational examination management system. The study unfolds in several phases: it begins by using TLA+ as a formal specification language to eliminate ambiguities inherent in natural language descriptions. Subsequently, the system is modelled with distinct states and actions that describe state transitions. Temporal logic is introduced to specify properties over time, ensuring the system operates correctly under concurrent conditions. The model checker TLC evaluates the state-based model for correctness, safety, and liveness. The mapping of TLA+ constructs to Solidity code demonstrates how formal specifications translate into executable smart contracts. Hoare Logic is applied for verifying the correctness of key functions by establishing pre-conditions and postconditions for ensuring desired outcomes. © 2025 IEEE.","Blockchain; Decentralized Learning; Ethereum; Hardhat; Hoare Logic; MetaMask; Mocha; Temporal Logic of Actions","Engineering education; Formal specification; Formal verification; Learning systems; Model checking; Smart contract; Specification languages; Temporal logic; 'current; Block-chain; Condition; Decentralized learning; Hardhat; Hoare Logic; Management systems; Metamask; Mocha; Temporal logic of actions; Blockchain; Ethereum","Conference paper","Final","","Scopus","2-s2.0-105018307847"
"Yoon S.H.; Ricker S.L.; Marchand H.","Yoon, S.H. (59233957400); Ricker, S.L. (6701741232); Marchand, H. (7006153758)","59233957400; 6701741232; 7006153758","Incremental Verification of Inference Observability in Decentralized Discrete-Event Control","2025","IEEE International Conference on Control and Automation, ICCA","","","","262","267","0","10.1109/ICCA65672.2025.11129743","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016255138&doi=10.1109%2FICCA65672.2025.11129743&partnerID=40&md5=e02600043ba042969ae028289a3b979c","Inference observability is one of the properties that must be satisfied to synthesize solutions to decentralized supervisory control problems. Current verification strategies require the construction of the complete system model. However, when a system model consists of multiple components, these monolithic approaches may be computationally infeasible due to the state-space explosion problem, a situation that arises when the system's state space increases exponentially with the number of its components. Incremental verification algorithms have been proposed to navigate this issue, where verification occurs component-wise. Our proposed solution to this issue involves updating an algorithm for the incremental verification of co-observability and extending it to inference observability.  © 2025 IEEE.","","Consensus algorithm; Decentralized control; Decentralized systems; Inference engines; State space methods; Verification; 'current; Complete system; Control problems; Decentralised; Decentralized supervisory control; Discrete event control; Incremental verification; Property; System models; Verification Strategy; Observability","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-105016255138"
"Jeon S.K.; Lee J.M.","Jeon, Sun Kyung (57194599671); Lee, Jeong Min (57203727958)","57194599671; 57203727958","Inter-platform reproducibility of ultrasound-based fat fraction for evaluating hepatic steatosis in nonalcoholic fatty liver disease","2024","Insights into Imaging","15","1","46","","","11","10.1186/s13244-024-01611-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185136240&doi=10.1186%2Fs13244-024-01611-0&partnerID=40&md5=d6c24cc26a9e557348ac3e2ba61684bb","Objectives: To evaluate the inter-platform reproducibility of ultrasound-based fat fraction examination in nonalcoholic fatty liver disease (NAFLD). Methods: Patients suspected of having NAFLD were prospectively enrolled from January 2023. Ultrasound-based fat fraction examinations were performed using two different platforms (ultrasound-derived fat fraction [UDFF] and quantitative ultrasound-derived estimated fat fraction [USFF]) on the same day. The correlation between UDFF and USFF was assessed using Pearson correlation coefficient. Intraclass correlation coefficient (ICC), Bland–Altman analysis with 95% limits of agreement (LOAs), and the coefficient of variation (CV) were used to assess inter-platform reproducibility. Results: A total of 41 patients (21 men and 20 women; mean age, 53.9 ± 12.6 years) were analyzed. Moderate correlation was observed between UDFF and USFF (Pearson’s r = 0.748; 95% confidence interval [CI]: 0.572–0.858). On Bland–Altman analysis, the mean difference between UDFF and USFF values was 1.3% with 95% LOAs ranging from -8.0 to 10.6%. The ICC between UDFF and USFF was 0.842 (95% CI: 0.703–0.916), with a CV of 29.9%. Conclusion: Substantial inter-platform variability was observed among different ultrasound-based fat fraction examinations. Therefore, it is not appropriate to use ultrasound-based fat fraction values obtained from different vendors interchangeably. Critical relevance statement: Considering the substantial inter-platform variability in ultrasound-based fat fraction assessments, caution is imperative when interpreting and comparing fat fraction values obtained from different ultrasound platforms in clinical practice. Key points: • Inter-platform reproducibility of ultrasound-based fat fraction examinations is important for its clinical application. • Significant variability across different ultrasound-based fat fraction examinations was observed. • Using ultrasound-based fat fraction values from different vendors interchangeably is not advisable. Graphical Abstract: (Figure presented.) © The Author(s) 2024.","Fatty liver; Liver; Nonalcoholic fatty liver disease; Ultrasonography","adult; aged; Article; B scan; body mass; clinical article; clinical practice; controlled study; correlation coefficient; echography; fat mass; fatty liver; female; human; liver lobe; male; nonalcoholic fatty liver; reproducibility; scoring system; ultrasound; ultrasound derived fat fraction","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85185136240"
"Hardia S.","Hardia, Shruti (60099521200)","60099521200","Decentralized Intelligence for Smart Cities: Integrating Federated Learning, Blockchain, and Foundation Models for Privacy-Preserving Urban Data Management","2025","Proceedings - 2025 IEEE 16th International Symposium on Autonomous Decentralized Systems, ISADS 2025","","","","87","93","0","10.1109/ISADS66912.2025.00017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015965144&doi=10.1109%2FISADS66912.2025.00017&partnerID=40&md5=9da89041a7e3f27338515c57781527e0","The growing complexity of urban data management in smart cities necessitates innovative solutions that balance predictive accuracy, scalability, and privacy. This paper proposes a novel framework that integrates Federated Learning (FL), Blockchain, and Foundation Models (FMs) to address these challenges. By leveraging FL, data is processed locally on edge devices, ensuring that sensitive information remains private and secure, while the predictive power of FMs enhances real-time decision-making across urban systems. Blockchain technology ensures transparency and trust, providing an immutable ledger for secure governance and operations. The proposed system enables seamless collaboration across diverse data sources while preserving privacy and fostering a decentralized, resilient infrastructure. A practical use case in inventory management and sales forecasting for businesses within a smart city is presented, showcasing how this framework can enhance operational efficiency, reduce costs, and maintain high standards of data protection. This integrated approach sets a new standard for secure, adaptive, and efficient smart city management.  © 2025 IEEE.","blockchain; cryptographic ledger frameworks; data management; decentralized collaborative optimization; federated learning; foundation models; universal ai models","Artificial intelligence; Distributed computer systems; Information management; Privacy-preserving techniques; Smart city; Urban growth; Block-chain; Cryptographic ledger framework; CryptoGraphics; Decentralised; Decentralized collaborative optimization; Foundation models; Learning models; Optimisations; Privacy preserving; Universal ai model; Blockchain","Conference paper","Final","","Scopus","2-s2.0-105015965144"
"Shanmugham M.; Senthilkumar C.","Shanmugham, M. (56940535100); Senthilkumar, C. (59729051400)","56940535100; 59729051400","Blockchain-Based Decentralized Healthcare Data Management System with Zero Knowledge Proof Ring Signature for Secure, Tamper-Proof, and Privacy-Preserving Storage","2025","2025 International Conference on Emerging Technologies in Engineering Applications, ICETEA 2025 - Proceedings","","","","","","0","10.1109/ICETEA64585.2025.11099845","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015777059&doi=10.1109%2FICETEA64585.2025.11099845&partnerID=40&md5=5be0838703aa9ed3912c08029ddac8f2","The Blockchain-Based Decentralized Healthcare Data Management System with Ring Signatures and Zero- Knowledge Proofs (ZKPs) offers a state-of-the-art method for securely storing Electronic Health Records (EHRs) while ensuring impenetrable protection and confidentiality. This solution integrates blockchain technology with ZKPs and Ring Signatures to address these challenges, enabling secure and private information management. By leveraging ZKPs, the system ensures privacy during authentication by allowing healthcare providers to demonstrate their authority to access specific patient records without disclosing sensitive information. Ring Signatures enable any authorized entity within a defined group to modify data through anonymous yet authenticated transactional signing, preserving identity confidentiality. The primary goal of this approach is to establish a decentralized framework that ensures data accuracy, confidentiality, and accountability, granting patients secure and verified ownership of their medical records. Preliminary findings highlight the system's effectiveness in safeguarding patient privacy, facilitating transparent communication between patients and providers, and preventing unauthorized modifications. The study also evaluates accessibility and sustainability across medical networks, yielding promising results for real-world healthcare applications. This blockchain-based approach lays the foundation for a safer, more patient-centered, and collaborative healthcare information ecosystem.  © 2025 IEEE.","component; Cryptographic Techniques; Data Integrity; Decentralized Healthcare System; Electronic Health Records; formatting; Healthcare Data Security; insert Blockchain; Patient-Controlled Access; PrivacyPreserving Data Storage; Ring Signatures; Secure Data Management; style; styling; Tamper-Proof Storage; Zero-Knowledge Proofs","Authentication; Digital storage; eHealth; Electronic document identification systems; Electronic health record; Information management; Medical computing; Medical information systems; Network security; Privacy-preserving techniques; Block-chain; Component; Cryptographic techniques; Data integrity; Data storage; Decentralised; Decentralized healthcare system; Electronic health; Formatting; Health records; Healthcare data security; Healthcare systems; Insert blockchain; Patient-controled access; Privacy preserving; Privacypreserving data storage; Ring signatures; Secure data managements; Style; Styling; Tamper-proof storage; Tamperproof; Zero-knowledge proofs; Blockchain","Conference paper","Final","","Scopus","2-s2.0-105015777059"
"Annane B.; Alti A.; Lakehal A.","Annane, Boubakeur (57210341126); Alti, Adel (34879509700); Lakehal, Abderrahim (57192681959)","57210341126; 34879509700; 57192681959","A Blockchain Semantic-based Approach for Secure and Traceable Agri-Food Supply Chain","2024","Engineering, Technology and Applied Science Research","14","6","","18131","18137","5","10.48084/etasr.8908","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211463918&doi=10.48084%2Fetasr.8908&partnerID=40&md5=06fbd346de03a423e01dc4e72f300f30","Ensuring food security is crucial for maintaining food quality and enhancing consumer services by guaranteeing both safety and satisfaction. However, traditional methods to ensure food security are often susceptible to various forms of fraud and require significant processing overhead, making them inefficient for the evolving demands of modern food supply chains. To address these shortcomings, blockchain technology has emerged as a robust and efficient solution to enhance food security. This paper presents a novel lightweight blockchain-based signature mechanism designed for the rapid detection of food fraud. It also includes a domain-specific ontology to serve as a structured knowledge model, allowing systematic analysis and detection of different types of fraud within the food supply chain. This approach uses smart contracts built on lightweight blockchain technology to initiate and manage transactions related to food fraud. Then, semantic rules are applied to detect and identify fraudulent activities. Once fraud is detected, associated transactions are encrypted and tracked, ensuring visibility and traceability among consortium members. Experimental results based on large-scale transaction data demonstrated ~7.5× speed improvement over iterative search algorithms while maintaining high transaction traceability and significantly reducing storage costs. © 2024, Dr D. Pylarinos. All rights reserved.","food fraud detection; food security; lightweight blockchain; ontology; traceability","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85211463918"
"Zhou Z.; Chen L.; Zhao Y.; Yang X.; Han Z.; He Z.","Zhou, Ziyuan (59468689600); Chen, Long (59339700400); Zhao, Yekang (58281932300); Yang, Xinyi (58964046700); Han, Zhaoyang (57209024982); He, Zheng (58249058100)","59468689600; 59339700400; 58281932300; 58964046700; 57209024982; 58249058100","Retrieval Integrity Verification and Multi-System Data Interoperability Mechanism of a Blockchain Oracle for Smart Healthcare with Internet of Things (IoT) Integration","2024","Sensors","24","23","7487","","","2","10.3390/s24237487","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211810573&doi=10.3390%2Fs24237487&partnerID=40&md5=128b6afed7cffd8696e61d103c8bd486","The proliferation of Internet of Things (IoT) technology has significantly enhanced smart healthcare systems, enabling the collection and processing of vast healthcare datasets such as electronic medical records (EMRs) and remote health monitoring (RHM) data. However, this rapid expansion has also introduced critical challenges related to data security, privacy, and system reliability. To address these challenges, we propose a retrieval integrity verification and multi-system data interoperability mechanism for a Blockchain Oracle in smart healthcare with IoT Integration (RIVMD-BO). The mechanism uses the cuckoo filter technology to effectively reduce the computational complexity and ensures the authenticity and integrity of data transmission and use through data retrieval integrity verification. The experimental results and security analysis show that the proposed method can improve system performance while ensuring security. © 2024 by the authors.","Blockchain Oracle; cuckoo filter; Internet of Things; retrieval integrity verification; smart healthcare","Algorithms; Blockchain; Computer Security; Delivery of Health Care; Electronic Health Records; Humans; Information Storage and Retrieval; Internet of Things; Blockchain; Electronic health record; Block-chain; Blockchain oracle; Cuckoo filter; Data interoperability; Integrity verifications; Internet of things technologies; Multi systems; Retrieval integrity verification; Smart healthcare; Verification systems; algorithm; blockchain; computer security; electronic health record; health care delivery; human; information retrieval; internet of things; procedures; Data integrity","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85211810573"
"Sanober A.; Anwar S.","Sanober, Adla (57672707300); Anwar, Shamama (24437866500)","57672707300; 24437866500","RRPoS: A Fair and Efficient Approach to Blockchain Consensus using Round Robin","2024","2024 IEEE International Conference on Blockchain and Distributed Systems Security, ICBDS 2024","","","","","","2","10.1109/ICBDS61829.2024.10837374","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217993854&doi=10.1109%2FICBDS61829.2024.10837374&partnerID=40&md5=2e1d87cc9cd3f7a9c23b3f6a68c0b0e4","Due to advanced technological development, the application of blockchain is not just for financial services. It has inherent potential uses in various industries, including healthcare, supply chain, industrial goods, E-commerce, and others. Any group or individuals agree in a blockchain network to make transactions on the basis of a consensus mechanism. The critical role of the consensus mechanism is that it improves the efficiency and security of the blockchain system. Proof of Work (PoW), Proof of Stake (PoS), Delegated Proof of Stake (DPoS), Proof of Authority (PoA), Practical Byzantine Fault Tolerance (PBFT) and some other recent proof of concepts such as Proof of Burn (PoB), Proof of Learning, Proof of Luck (PoLu), etc. are the various existing consensus algorithms. However, there are problems with these algorithms including centralization risk, security, efficiency, and waste of resources. Proof of Work (PoW) consumes high computational power to solve the cryptographic puzzle and makes the system more costly. Proof of Stake (PoS) encourages high-stakes node selected as a validator to propose and validate the new block in the blockchain, which promotes inequality and monopolies. The paper introduces Round Robin Proof of Stake (RRPoS) based on the existing Proof of Stake (PoS) that involves block creation in a round-robin fashion to increase the chances of high- to low-stakes validators for the validation of the proposed block. The proposed consensus algorithm is able to ascertain the existence of malicious validator nodes and eliminate them to enhance system security. The performance analysis demonstrates that RRPoS is better and more efficient than PoW and PoS.  © 2024 IEEE.","Blockchain; Consensus mechanism; Malicious validator; PoS; PoW; RRPoS","Blockchain; Block-chain; Consensus algorithms; Consensus mechanism; Financial service; Malicious validator; Proof of stake; Proof of work; Round Robin; Round robin proof of stake; Technological development; Supply chains","Conference paper","Final","","Scopus","2-s2.0-85217993854"
